SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-12 19:02:16 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-12 19:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 12:25:48 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 12:30:53 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:11:30 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:16:34 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:21:39 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:26:43 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:31:48 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:36:52 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:41:57 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:47:02 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:52:06 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 13:57:11 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 14:02:15 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 14:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 14:07:20 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 15:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 14:12:24 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 15:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 14:17:29 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 15:10:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 14:20:01 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 15:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:21:51 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 17:15:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:26:56 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 17:20:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:32:00 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 17:25:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:37:05 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 17:30:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:42:09 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 17:35:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:47:14 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 17:40:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:52:18 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 17:45:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 16:57:23 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 17:50:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:02:28 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 17:55:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:07:38 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 18:00:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:10:11 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 18:05:00
SCENARIUSZ HIT | symbol=STOXX50 | data_godzina=2026-05-14 17:15:15 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 18:10:00
