AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-05-13 03:55:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:01:26 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=False; ADX_DEC=True; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Inside_cloud; ICHI_BUY_STRONG=False; ICHI_BUY_WEAK=True; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=35.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SKIPPED_SYMBOL_BUSY | sygnal=BUY | godzina_brokera=2026-05-13 04:20:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:26:58 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-05-13 04:25:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:32:03 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SKIPPED_SYMBOL_BUSY | sygnal=BUY | godzina_brokera=2026-05-13 04:25:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:32:03 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-05-13 04:30:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:37:08 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SKIPPED_SYMBOL_BUSY | sygnal=BUY | godzina_brokera=2026-05-13 04:30:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:37:08 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-05-13 04:35:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:42:13 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SKIPPED_SYMBOL_BUSY | sygnal=BUY | godzina_brokera=2026-05-13 04:35:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:42:13 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-05-13 04:40:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:47:18 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SKIPPED_SYMBOL_BUSY | sygnal=BUY | godzina_brokera=2026-05-13 04:40:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:47:18 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-05-13 04:45:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:52:22 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
AUDYT_SYGNALU | produkt=USTEC | event=OPEN_SKIPPED_SYMBOL_BUSY | sygnal=BUY | godzina_brokera=2026-05-13 04:45:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-05-13 03:52:23 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; ICHI_PRICE_VS_CLOUD=Above_cloud; ICHI_BUY_STRONG=True; ICHI_BUY_WEAK=False; ICHI_SELL_STRONG=False; ICHI_SELL_WEAK=True; ICHI_TK_BUY=True; ICHI_PRICE_KIJUN_BUY=True; ICHI_CLOUD_BREAKOUT_BUY=True; ICHI_TK_SELL=False; ICHI_PRICE_KIJUN_SELL=False; ICHI_CLOUD_BREAKOUT_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None; CANDLE_SIGNAL=None; CANDLE_PATTERNS=[]; CANDLE_BUY=False; CANDLE_SELL=False
