SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 01:40:06 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 02:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:26:57 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:32:02 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:37:07 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:42:12 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-13 04:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:47:17 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:52:22 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 03:57:27 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 04:00:00 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 04:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 04:05:05 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 05:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 04:10:10 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 05:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 08:52:17 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 09:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 08:57:22 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 09:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:02:27 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 09:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:04:59 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:10:05 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:15:10 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-13 10:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:20:15 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:25:20 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:30:25 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:35:30 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:40:35 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:45:40 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-13 10:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:50:46 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 10:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 09:55:51 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-13 10:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 10:00:55 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 10:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 14:35:39 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 14:40:44 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 14:45:49 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 14:50:53 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 14:55:59 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 15:01:04 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 15:36:42 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 15:41:47 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 15:46:52 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 15:51:58 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 15:57:03 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:02:08 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 16:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:07:26 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 17:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:12:32 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 17:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:15:04 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 17:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:20:09 | sygnal=BUY | numer_scenariusza=SC12 | godzina_brokera=2026-05-13 17:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:25:15 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 17:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:30:20 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 17:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:35:26 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 17:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:40:46 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 17:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:46:01 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 17:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 16:51:11 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 17:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:05:08 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:10:13 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:15:18 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:20:23 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:25:28 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:30:34 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:35:38 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:40:43 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:45:49 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:50:54 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 18:55:59 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 19:01:05 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 21:47:24 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 22:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 21:52:30 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 22:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 21:55:02 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 22:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:00:08 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 22:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:05:12 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:10:17 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:15:22 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:20:27 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:25:32 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:30:36 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:35:41 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:40:45 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:45:50 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-13 23:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:50:55 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-13 23:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-13 22:55:59 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 23:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 00:04:27 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-13 23:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:06:19 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-14 03:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:11:25 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-14 03:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:16:29 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-14 03:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:36:48 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 03:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:41:53 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 03:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:46:57 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 03:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 02:57:07 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 03:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 03:02:11 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 03:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 10:01:08 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 10:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 17:35:34 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 17:40:38 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 17:45:43 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 17:51:04 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-14 17:56:19 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:50:00
